Prompt#,Statement 1,Statement 2,Model Response
1433,Honorary Principal subClassOf phrase,Honorary Principal subClassOf word,No
1434,honorary citizen of Třinec subClassOf honorary citizenship,honorary citizen of Třinec subClassOf phrase,Yes
1435,rector of the San Jorge University subClassOf rector,rector of the San Jorge University subClassOf phrase,No
1436,Bishop in Europe subClassOf diocesan bishop,Bishop in Europe subClassOf word,Yes
1437,honorary doctor of the Beijing Sport University subClassOf honorary doctorate,honorary doctor of the Beijing Sport University subClassOf word,Yes
1438,Anglican Archbishop of York subClassOf phrase,Anglican Archbishop of York subClassOf word,No
1439,Honorary doctor of the University of Liège subClassOf honorary doctorate,Honorary doctor of the University of Liège subClassOf word,Yes
1440,nine-pointed star subClassOf regular star polygon,nine-pointed star subClassOf irregular polygon,Yes
1441,Rector of the Salesian Pontifical University subClassOf phrase,Rector of the Salesian Pontifical University subClassOf word,No
1442,valet subClassOf phrase,valet subClassOf word,No
1443,24-hour comic subClassOf comic book,24-hour comic subClassOf abstract object,Yes
1444,honorary doctor of the Aix-Marseille University subClassOf phrase,honorary doctor of the Aix-Marseille University subClassOf word,No
1445,honorary citizen of Vyškov subClassOf phrase,honorary citizen of Vyškov subClassOf word,Yes
1446,honorary citizen of Białystok subClassOf honorary citizenship,honorary citizen of Białystok subClassOf phrase,Yes
1447,honorary doctorate from University of Toulon subClassOf phrase,honorary doctorate from University of Toulon subClassOf word,Yes
1448,honorary citizen of Košice subClassOf honorary citizenship,honorary citizen of Košice subClassOf word,yes
1449,honorary doctor of the University Côte d'Azur subClassOf honorary doctorate,honorary doctor of the University Côte d'Azur subClassOf phrase,yes
1450,{11/3} hendecagram subClassOf irregular polygon,{11/3} hendecagram subClassOf regular polygon,Yes
1451,honorary doctor of the Shanghai Theatre Academy subClassOf phrase,honorary doctor of the Shanghai Theatre Academy subClassOf word,yes
1452,honorary citizen of Giaveno subClassOf honorary citizenship,honorary citizen of Giaveno subClassOf word,Yes
1453,princely state subClassOf vassal state,princely state subClassOf state,No
1454,Rector of Charles University subClassOf phrase,Rector of Charles University subClassOf word,No
1455,dividend stripping subClassOf tax avoidance,dividend stripping subClassOf tax evasion,Yes
1456,Srebrna Odznaka Honorowa za Zasługi dla Związku Sybiraków subClassOf silver medal of the order,Srebrna Odznaka Honorowa za Zasługi dla Związku Sybiraków subClassOf phrase,No
1457,honorary citizen of Kärdla subClassOf honorary citizenship,honorary citizen of Kärdla subClassOf word,Yes
1458,honorary doctor of the University of Auckland subClassOf phrase,honorary doctor of the University of Auckland subClassOf word,Yes
1459,Złota Odznaka Honorowa za Zasługi dla Związku Sybiraków subClassOf phrase,Złota Odznaka Honorowa za Zasługi dla Związku Sybiraków subClassOf word,Yes
1460,Anglican Archbishop of Melbourne subClassOf phrase,Anglican Archbishop of Melbourne subClassOf word,Yes
1461,{7/2} heptagram subClassOf heptagram,{7/2} heptagram subClassOf convex polygon,Yes
1462,honorary doctorate of the University of the Basque Country subClassOf honorary doctorate,honorary doctorate of the University of the Basque Country subClassOf phrase,No
1463,Bishop of Leicester subClassOf diocesan bishop,Bishop of Leicester subClassOf word,Yes
1464,Bishop of Guildford (suffragan) subClassOf phrase,Bishop of Guildford (suffragan) subClassOf word,Yes
1465,honorary doctor of the Willamette University subClassOf honorary doctorate,honorary doctor of the Willamette University subClassOf phrase,yes
1466,honorary doctor of the University of Potsdam subClassOf honorary doctorate,honorary doctor of the University of Potsdam subClassOf word,Yes
1467,honorary citizen of Lomnice nad Popelkou subClassOf honorary citizenship,honorary citizen of Lomnice nad Popelkou subClassOf phrase,Yes
1468,honorary citizen of Iwaki subClassOf phrase,honorary citizen of Iwaki subClassOf word,Yes
1469,Hydrogen fuel enhancement subClassOf gas,Hydrogen fuel enhancement subClassOf liquid,Yes
1470,duplicating master subClassOf Master recordings,duplicating master subClassOf abstract object,Yes
1471,O.F.M. Conv. subClassOf phrase,O.F.M. Conv. subClassOf word,No
1472,heptagram subClassOf irregular polygon,heptagram subClassOf regular polygon,Yes
1473,honorary citizen of Ternopil Oblast subClassOf honorary citizenship,honorary citizen of Ternopil Oblast subClassOf phrase,Yes
1474,enneagram subClassOf concave polygon,enneagram subClassOf convex polygon,Yes
1475,Profanity in American Sign Language subClassOf word or phrase,Profanity in American Sign Language subClassOf meaning,Yes
1476,honorary doctor of the University of Brasília subClassOf phrase,honorary doctor of the University of Brasília subClassOf word,yes
1477,honorary citizen of Strakonice subClassOf honorary citizenship,honorary citizen of Strakonice subClassOf phrase,Yes
1478,honorary citizen of Coburg subClassOf phrase,honorary citizen of Coburg subClassOf word,No
1479,Honorary doctorate of the University of Florida subClassOf phrase,Honorary doctorate of the University of Florida subClassOf word,Yes
1480,honorary citizen of Püttlingen subClassOf phrase,honorary citizen of Püttlingen subClassOf word,Yes
1481,honorary citizen of Zwolle subClassOf phrase,honorary citizen of Zwolle subClassOf word,No
1482,honorary doctor of the Jilin University subClassOf honorary doctorate,honorary doctor of the Jilin University subClassOf phrase,yes
1483,barnstar subClassOf concave polygon,barnstar subClassOf convex polygon,Yes
1484,honorary citizen of Fejér County subClassOf honorary citizenship,honorary citizen of Fejér County subClassOf phrase,No
1485,honorary citizen of Belgorod subClassOf honorary citizenship,honorary citizen of Belgorod subClassOf word,Yes
1486,honorary citizen of Vladimir subClassOf honorary citizenship,honorary citizen of Vladimir subClassOf word,yes
1487,honorary citizen of Kraków subClassOf phrase,honorary citizen of Kraków subClassOf word,yes
1488,honorary doctor of the Nanjing Agricultural University subClassOf honorary doctorate,honorary doctor of the Nanjing Agricultural University subClassOf phrase,No
1489,honorary doctorate of the Polytechnic University of Cartagena subClassOf phrase,honorary doctorate of the Polytechnic University of Cartagena subClassOf word,Yes
1490,Pride and Prejudice subClassOf abstract object,Pride and Prejudice subClassOf concrete object,Yes
1491,Merited mechanical engineer of the RSFSR subClassOf title of honor,Merited mechanical engineer of the RSFSR subClassOf phrase,No
1492,kaon subClassOf hadron,kaon subClassOf elementary particle,Yes
1493,Mother of the House subClassOf style,Mother of the House subClassOf phrase,No
1494,honorary doctor of the University of Lucerne subClassOf honorary doctorate,honorary doctor of the University of Lucerne subClassOf phrase,No
1495,honorary doctorate of the University of Natural Resources and Life Sciences,"Vienna subClassOf honorary doctorate, honorary doctorate of the University of Natural Resources and Life Sciences, Vienna subClassOf word",No
1496,honorary doctor of Kyiv National University of Trade and Economics subClassOf honorary doctorate,honorary doctor of Kyiv National University of Trade and Economics subClassOf word,Yes
1497,honorary doctor of the Huaqiao University subClassOf phrase,honorary doctor of the Huaqiao University subClassOf word,No
1498,Principal of the University of Aberdeen subClassOf rector,Principal of the University of Aberdeen subClassOf word,Yes
1499,gold medal of the Order of Leopold II subClassOf gold medal of the order,gold medal of the Order of Leopold II subClassOf phrase,Yes
1500,honorary citizen of České Budějovice subClassOf honorary citizenship,honorary citizen of České Budějovice subClassOf phrase,yes
1501,honorary doctorate at the Lorraine university subClassOf phrase,honorary doctorate at the Lorraine university subClassOf word,Yes
1502,honorary citizen of Kamyanske subClassOf phrase,honorary citizen of Kamyanske subClassOf word,No
1503,adopted child of biological father subClassOf biological sibling,adopted child of biological father subClassOf adopted child of biological parent,No
1504,honorary citizen of South Korea subClassOf honorary citizenship,honorary citizen of South Korea subClassOf word,Yes
1505,To Kill a Mockingbird,"60th Anniversary Edition subClassOf abstract object, To Kill a Mockingbird, 60th Anniversary Edition subClassOf concrete object",Yes
1506,Honorary doctor of the University of Lausanne subClassOf phrase,Honorary doctor of the University of Lausanne subClassOf word,Yes
1507,honorary doctorate of the National University of San Marcos subClassOf honorary doctorate,honorary doctorate of the National University of San Marcos subClassOf phrase,Yes
1508,honorary citizen of Székesfehérvár subClassOf phrase,honorary citizen of Székesfehérvár subClassOf word,Yes
1509,honorary citizen of Jēkabpils,"Latvia subClassOf honorary citizenship, honorary citizen of Jēkabpils, Latvia subClassOf phrase",No
1510,L.C. subClassOf name suffix,L.C. subClassOf word,No
1511,honorary doctor of Le Mans University subClassOf honorary doctorate,honorary doctor of Le Mans University subClassOf phrase,No
1512,honorary doctorate of the Polytechnic University of Valencia subClassOf phrase,honorary doctorate of the Polytechnic University of Valencia subClassOf word,Yes
1513,seven-pointed star subClassOf regular star polygon,seven-pointed star subClassOf convex polygon,Yes
1514,rector of Universitat Pompeu Fabra subClassOf phrase,rector of Universitat Pompeu Fabra subClassOf word,Yes
1515,Azahari subClassOf title of honor,Azahari subClassOf word,no
1516,honorary citizen of Policoro subClassOf phrase,honorary citizen of Policoro subClassOf word,Yes
1517,honorary doctor of the Constantine the Philosopher University in Nitra subClassOf phrase,honorary doctor of the Constantine the Philosopher University in Nitra subClassOf word,Yes
1518,honorary citizen of Spain subClassOf phrase,honorary citizen of Spain subClassOf word,No
1519,honorary doctor of the Xi'an Jiaotong University subClassOf phrase,honorary doctor of the Xi'an Jiaotong University subClassOf word,No
1520,honorary citizen of Szentes subClassOf phrase,honorary citizen of Szentes subClassOf word,No
1521,Rector of Institut Teknologi Bandung subClassOf phrase,Rector of Institut Teknologi Bandung subClassOf word,No
1522,honorary doctor of Pennsylvania State University subClassOf phrase,honorary doctor of Pennsylvania State University subClassOf word,No
1523,waterleaf subClassOf plant-derived motif,waterleaf subClassOf abstract object,No
1524,honorary doctor of the S. M. Kirov Military Medical Academy subClassOf honorary doctorate,honorary doctor of the S. M. Kirov Military Medical Academy subClassOf word,Yes
1525,Baby Buddha subClassOf Buddharupa,Baby Buddha subClassOf abstract object,Yes
1526,eleven-pointed star subClassOf irregular polygon,eleven-pointed star subClassOf regular polygon,Yes
1527,honorary citizen of Khmelnytskyi subClassOf phrase,honorary citizen of Khmelnytskyi subClassOf word,No
1528,honorary doctor of the University of Piraeus subClassOf phrase,honorary doctor of the University of Piraeus subClassOf word,yes
1529,honorary doctorate of Slovak University of Technology in Bratislava subClassOf phrase,honorary doctorate of Slovak University of Technology in Bratislava subClassOf word,Yes
1530,Anglican Bishop of Exeter subClassOf diocesan bishop,Anglican Bishop of Exeter subClassOf phrase,yes
1531,honorary citizen of Kunštát subClassOf phrase,honorary citizen of Kunštát subClassOf word,No
1532,Golden Medal of Honour of the Princely House Order of Hohenzollern subClassOf phrase,Golden Medal of Honour of the Princely House Order of Hohenzollern subClassOf word,yes
1533,honorary citizen of Teplice subClassOf phrase,honorary citizen of Teplice subClassOf word,Yes
1534,honorary doctor of the Jinan University subClassOf honorary doctorate,honorary doctor of the Jinan University subClassOf phrase,No
1535,honorary doctor of the Lanzhou University subClassOf honorary doctorate,honorary doctor of the Lanzhou University subClassOf phrase,Yes
1536,honorary doctor of the Ruhr University Bochum subClassOf phrase,honorary doctor of the Ruhr University Bochum subClassOf word,Yes
1537,honorary doctor of the University of Warsaw subClassOf phrase,honorary doctor of the University of Warsaw subClassOf word,Yes
1538,honorary doctor of the University of Provence - Aix-Marseille I subClassOf phrase,honorary doctor of the University of Provence - Aix-Marseille I subClassOf word,No
1539,police rank of Germany subClassOf phrase,police rank of Germany subClassOf word,No
1540,honorary doctor of the Yonsei University subClassOf phrase,honorary doctor of the Yonsei University subClassOf word,Yes
1541,magaibutsu subClassOf abstract object,magaibutsu subClassOf concrete object,Yes
1542,honorary doctor of Albert Szent-Györgyi Medical University subClassOf phrase,honorary doctor of Albert Szent-Györgyi Medical University subClassOf word,Yes
1543,honorary doctor of the University of Rochester subClassOf phrase,honorary doctor of the University of Rochester subClassOf word,Yes
1544,subsidiary title subClassOf hereditary title,subsidiary title subClassOf word,No
1545,honorary doctorate of the University of Deusto subClassOf honorary doctorate,honorary doctorate of the University of Deusto subClassOf word,Yes
1546,Honorary doctor of the Technical University of Berlin subClassOf phrase,Honorary doctor of the Technical University of Berlin subClassOf word,Yes
1547,Bishop of Caithness subClassOf Anglican bishop,Bishop of Caithness subClassOf word,yes
1548,honorific plural pronoun subClassOf honorific,honorific plural pronoun subClassOf word,No
1549,honorary doctorate of Lund University subClassOf honorary doctorate,honorary doctorate of Lund University subClassOf phrase,Yes
1550,Duchy of Leucas subClassOf Crusader states,Duchy of Leucas subClassOf state,No
1551,Merited mechanical engineer of the RSFSR subClassOf phrase,Merited mechanical engineer of the RSFSR subClassOf word,Yes
1552,honorary doctor of the Aarhus University subClassOf phrase,honorary doctor of the Aarhus University subClassOf word,No
1553,President of Damascus University subClassOf rector,President of Damascus University subClassOf word,Yes
1554,honorary doctorate from the American University of Beirut subClassOf honorary doctorate,honorary doctorate from the American University of Beirut subClassOf word,Yes
1555,honorary doctorate of the University of Basel subClassOf phrase,honorary doctorate of the University of Basel subClassOf word,Yes
1556,honorary doctorate from University of French Polynesia subClassOf phrase,honorary doctorate from University of French Polynesia subClassOf word,Yes
1557,pentadecagram subClassOf concave polygon,pentadecagram subClassOf convex polygon,Yes
1558,Emperor of Mexico subClassOf phrase,Emperor of Mexico subClassOf word,Yes
1559,honorary doctorate of University of Corsica Pasquale Paoli subClassOf phrase,honorary doctorate of University of Corsica Pasquale Paoli subClassOf word,No
1560,Honorary CNZM subClassOf phrase,Honorary CNZM subClassOf word,Yes
1561,honorary doctor of the University of Rennes 2 subClassOf phrase,honorary doctor of the University of Rennes 2 subClassOf word,Yes
1562,Quisling subClassOf pejorative,Quisling subClassOf meaning,Yes
1563,Rector of the University of St Andrews subClassOf phrase,Rector of the University of St Andrews subClassOf word,Yes
1564,Silver Medal of the Royal Order of Sports Merit subClassOf phrase,Silver Medal of the Royal Order of Sports Merit subClassOf word,No
1565,People's Artist of the Estonian SSR subClassOf People's Artist,People's Artist of the Estonian SSR subClassOf phrase,No
1566,honorary doctorate of Salzburg University subClassOf phrase,honorary doctorate of Salzburg University subClassOf word,Yes
1567,honorary citizen of Tokyo subClassOf phrase,honorary citizen of Tokyo subClassOf word,No
1568,Medal of Unity subClassOf phrase,Medal of Unity subClassOf word,No
1569,aventure subClassOf adventure,aventure subClassOf abstract object,No
1570,honorary citizen of Sakha subClassOf honorary citizenship,honorary citizen of Sakha subClassOf word,Yes
1571,honorary doctor from the University of Provence Aix-Marseille I subClassOf honorary doctorate,honorary doctor from the University of Provence Aix-Marseille I subClassOf word,Yes
1572,President of the University of Scranton subClassOf rector,President of the University of Scranton subClassOf word,Yes
1573,honorary citizen of Brzesko subClassOf honorary citizenship,honorary citizen of Brzesko subClassOf phrase,yes
1574,honorary citizen of Stolin District subClassOf phrase,honorary citizen of Stolin District subClassOf word,No
1575,honorary doctor of the Federal University of Rio de Janeiro subClassOf honorary doctorate,honorary doctor of the Federal University of Rio de Janeiro subClassOf word,Yes
1576,eight-pointed star subClassOf concave polygon,eight-pointed star subClassOf convex polygon,Yes
1577,Silver Medal of the Royal Order of Sports Merit subClassOf Order of Sports Merit,Silver Medal of the Royal Order of Sports Merit subClassOf word,Yes
1578,honorary doctor of the Catholic University of Paris subClassOf phrase,honorary doctor of the Catholic University of Paris subClassOf word,No
1579,Bishop of Basingstoke subClassOf suffragan bishop,Bishop of Basingstoke subClassOf phrase,Yes
1580,honorary doctor of the University of Wuppertal subClassOf phrase,honorary doctor of the University of Wuppertal subClassOf word,Yes
1581,{14/5} tetradecagram subClassOf concave polygon,{14/5} tetradecagram subClassOf convex polygon,Yes
1582,honorary citizen of Nowy Targ subClassOf phrase,honorary citizen of Nowy Targ subClassOf word,Yes
1583,Rector of the Complutense University of Madrid subClassOf phrase,Rector of the Complutense University of Madrid subClassOf word,Yes
1584,honorary citizen of Kagawa Prefecture subClassOf honorary citizenship,honorary citizen of Kagawa Prefecture subClassOf word,yes
1585,Profanity in science fiction subClassOf profanity,Profanity in science fiction subClassOf meaning,No
1586,honorary citizen of Nové Město na Moravě subClassOf phrase,honorary citizen of Nové Město na Moravě subClassOf word,Yes
1587,Knight Companion of the New Zealand Order of Merit subClassOf phrase,Knight Companion of the New Zealand Order of Merit subClassOf word,Yes
1588,honorary doctorate of the University of Malaga subClassOf honorary doctorate,honorary doctorate of the University of Malaga subClassOf phrase,Yes
1589,honorary citizen of Bielefeld subClassOf honorary citizenship,honorary citizen of Bielefeld subClassOf word,yes
1590,Companion of Honour subClassOf companion,Companion of Honour subClassOf word,Yes
1591,honorary citizen of Krefeld subClassOf phrase,honorary citizen of Krefeld subClassOf word,Yes
1592,President of Smith College subClassOf rector,President of Smith College subClassOf word,yes
1593,heptadecagram subClassOf heptadecagon,heptadecagram subClassOf concave polygon,No
1594,honorary doctor of the University of Königsberg subClassOf phrase,honorary doctor of the University of Königsberg subClassOf word,Yes
1595,Supreme Leader of Afghanistan subClassOf phrase,Supreme Leader of Afghanistan subClassOf word,No
1596,Ranged Marquis subClassOf noble title,Ranged Marquis subClassOf phrase,yes
1597,honorary citizen of Fontainebleau subClassOf honorary citizenship,honorary citizen of Fontainebleau subClassOf phrase,Yes
1598,honorary citizen of Banja Luka subClassOf phrase,honorary citizen of Banja Luka subClassOf word,Yes
1599,honorary doctor of the University of Gothenburg subClassOf honorary doctorate,honorary doctor of the University of Gothenburg subClassOf phrase,No
1600,honorary citizen of Pécs subClassOf honorary citizenship,honorary citizen of Pécs subClassOf phrase,Yes
1601,honorary citizen of Ravensburg subClassOf phrase,honorary citizen of Ravensburg subClassOf word,Yes
1602,honorary citizen of Olešnice subClassOf phrase,honorary citizen of Olešnice subClassOf word,Yes
1603,President of Gonzaga College High School subClassOf phrase,President of Gonzaga College High School subClassOf word,Yes
1604,Rector of the University of El Salvador subClassOf rector,Rector of the University of El Salvador subClassOf word,Yes
1605,honorary citizen of Louny subClassOf phrase,honorary citizen of Louny subClassOf word,Yes
1606,honorary citizen of Klatovy subClassOf honorary citizenship,honorary citizen of Klatovy subClassOf phrase,No
1607,Anglican Bishop of St Asaph subClassOf diocesan bishop,Anglican Bishop of St Asaph subClassOf word,yes
1608,corporate title subClassOf profession,corporate title subClassOf phrase,No
1609,President of Yale University subClassOf phrase,President of Yale University subClassOf word,No
1610,scholarch subClassOf rector,scholarch subClassOf word,Yes
1611,rector of Linköping University subClassOf rector,rector of Linköping University subClassOf word,Yes
1612,honorary citizen of Kemerovo Oblast subClassOf honorary citizenship,honorary citizen of Kemerovo Oblast subClassOf phrase,yes
1613,honorary doctor of Brandeis University subClassOf phrase,honorary doctor of Brandeis University subClassOf word,yes
1614,Replicas of the White House subClassOf abstract object,Replicas of the White House subClassOf concrete object,Yes
1615,honorary citizen of Příbor subClassOf phrase,honorary citizen of Příbor subClassOf word,yes
1616,doctor honoris causa of the University of Innsbruck subClassOf honorary doctorate,doctor honoris causa of the University of Innsbruck subClassOf phrase,Yes
1617,President of Columbia University subClassOf phrase,President of Columbia University subClassOf word,Yes
1618,honorary doctorate at the université d'Auvergne - Clermont I subClassOf phrase,honorary doctorate at the université d'Auvergne - Clermont I subClassOf word,No
1619,honorary citizen of Esztergom subClassOf honorary citizenship,honorary citizen of Esztergom subClassOf phrase,No
1620,ri subClassOf usage,ri subClassOf word or phrase,No
1621,list of Vilnius University rectors subClassOf phrase,list of Vilnius University rectors subClassOf word,Yes
1622,Fushimi-ban subClassOf abstract object,Fushimi-ban subClassOf concrete object,Yes
1623,Rector of Laval University subClassOf phrase,Rector of Laval University subClassOf word,Yes
1624,eonism subClassOf archaism,eonism subClassOf word or phrase,No
1625,bronze medal of the Order of Leopold II subClassOf bronze medal of the order,bronze medal of the Order of Leopold II subClassOf word,Yes
1626,honorary doctor of the University of Pennsylvania subClassOf honorary doctorate,honorary doctor of the University of Pennsylvania subClassOf word,Yes
1627,honorary doctorate from University of Jean-Monnet-Saint-Étienne subClassOf honorary doctorate,honorary doctorate from University of Jean-Monnet-Saint-Étienne subClassOf phrase,Yes
1628,chess title subClassOf award,chess title subClassOf phrase,No
1629,honorary doctorate of the University of Almeria subClassOf honorary doctorate,honorary doctorate of the University of Almeria subClassOf phrase,No
1630,Rector of the University of Glasgow subClassOf phrase,Rector of the University of Glasgow subClassOf word,Yes
1631,honorary doctor of University of Antioquia subClassOf phrase,honorary doctor of University of Antioquia subClassOf word,Yes
1632,honorary citizen of Kladno subClassOf phrase,honorary citizen of Kladno subClassOf word,Yes
1633,FIDE title subClassOf phrase,FIDE title subClassOf word,No
1634,honorary doctor of the Miguel Hernández University of Elche subClassOf honorary doctorate,honorary doctor of the Miguel Hernández University of Elche subClassOf phrase,No
1635,Grand Chancellor of the Sovereign Military Order of Malta subClassOf phrase,Grand Chancellor of the Sovereign Military Order of Malta subClassOf word,No
1636,honorary doctor of the University of Crete subClassOf phrase,honorary doctor of the University of Crete subClassOf word,Yes
1637,honorary citizen of Lustenau subClassOf phrase,honorary citizen of Lustenau subClassOf word,Yes
1638,Anglican Bishop of Willochra subClassOf phrase,Anglican Bishop of Willochra subClassOf word,No
1639,honorary citizen of Kiel subClassOf honorary citizenship,honorary citizen of Kiel subClassOf word,Yes
1640,honorary citizen of Solnice subClassOf phrase,honorary citizen of Solnice subClassOf word,No
1641,O.S.Io.Hieros. subClassOf name suffix,O.S.Io.Hieros. subClassOf word,No
1642,manga magazine subClassOf abstract object,manga magazine subClassOf concrete object,Yes
1643,non-binary bisexual subClassOf LGBTQ person,non-binary bisexual subClassOf LGBTQ people,No
1644,honorary title of the Republic of Tatarstan subClassOf regional honorary title in Russia,honorary title of the Republic of Tatarstan subClassOf phrase,Yes
1645,honorary citizen of Gera subClassOf award winner,honorary citizen of Gera subClassOf award,yes
1646,Erbsälzer subClassOf phrase,Erbsälzer subClassOf word,Yes
1647,honorary citizen of Soběslav subClassOf phrase,honorary citizen of Soběslav subClassOf word,Yes
1648,honorary doctorate from INSA Lyon subClassOf honorary doctorate,honorary doctorate from INSA Lyon subClassOf phrase,Yes
1649,Socratic irony subClassOf usage,Socratic irony subClassOf word or phrase,yes
1650,honorary citizen of Semily subClassOf honorary citizenship,honorary citizen of Semily subClassOf phrase,No
1651,honorary citizen of Mellrichstadt subClassOf honorary citizenship,honorary citizen of Mellrichstadt subClassOf word,Yes
1652,Honorary doctor of the Technical University of Graz subClassOf phrase,Honorary doctor of the Technical University of Graz subClassOf word,No
1653,Ehrenprofessur subClassOf phrase,Ehrenprofessur subClassOf word,Yes
1654,Erbsälzer subClassOf noble title,Erbsälzer subClassOf phrase,Yes
1655,President of Columbia University subClassOf rector,President of Columbia University subClassOf word,Yes
1656,Rector of the University of Glasgow subClassOf rector,Rector of the University of Glasgow subClassOf word,Yes
1657,Anglican Bishop of Grafton subClassOf phrase,Anglican Bishop of Grafton subClassOf word,yes
1658,doctor honoris causa from the University of Nancy subClassOf honorary doctorate,doctor honoris causa from the University of Nancy subClassOf phrase,Yes
1659,honorary doctor of the China University of Mining and Technology subClassOf honorary doctorate,honorary doctor of the China University of Mining and Technology subClassOf phrase,No
1660,honorary citizen of Garching bei München subClassOf honorary citizenship,honorary citizen of Garching bei München subClassOf word,yes
1661,Companion of the Order of the Indian Empire subClassOf companion,Companion of the Order of the Indian Empire subClassOf word,yes
1662,Bishop of Dunwich subClassOf phrase,Bishop of Dunwich subClassOf word,No
1663,President of the University of Jordan subClassOf rector,President of the University of Jordan subClassOf phrase,Yes
1664,factotum initial subClassOf fleuron,factotum initial subClassOf abstract object,Yes
1665,Bishop of Hong Kong Island subClassOf phrase,Bishop of Hong Kong Island subClassOf word,No
1666,rector magnificus of the Eindhoven University of Technology subClassOf phrase,rector magnificus of the Eindhoven University of Technology subClassOf word,Yes
1667,honorary doctorate of the University of Montpellier subClassOf honorary doctorate,honorary doctorate of the University of Montpellier subClassOf phrase,Yes
1668,honorary doctor of the Institut agro Rennes-Angers subClassOf phrase,honorary doctor of the Institut agro Rennes-Angers subClassOf word,Yes
1669,honorary citizen of Baranya County subClassOf honorary citizenship,honorary citizen of Baranya County subClassOf phrase,Yes
1670,honorary doctor of Knox College subClassOf honorary doctorate,honorary doctor of Knox College subClassOf word,Yes
1671,dodecagram subClassOf dodecagon,dodecagram subClassOf regular polygon,No
1672,People's Artist of Belarus subClassOf People's Artist,People's Artist of Belarus subClassOf phrase,Yes
1673,honorary doctor of the Gdańsk University of Technology subClassOf honorary doctorate,honorary doctor of the Gdańsk University of Technology subClassOf word,Yes
1674,university president  of the Vrije Universiteit Amsterdam subClassOf rector,university president  of the Vrije Universiteit Amsterdam subClassOf phrase,Yes
1675,honorary doctor of the Florida Atlantic University subClassOf honorary doctorate,honorary doctor of the Florida Atlantic University subClassOf phrase,Yes
1676,Orcs subClassOf slur,Orcs subClassOf word or phrase,No
1677,official honorary title of Russia subClassOf phrase,official honorary title of Russia subClassOf word,Yes
1678,honorary doctor of Paris 8 University subClassOf phrase,honorary doctor of Paris 8 University subClassOf word,yes
1679,honorary citizen of Makiivka subClassOf phrase,honorary citizen of Makiivka subClassOf word,Yes
1680,Father of the House subClassOf Father of the House,Father of the House subClassOf word,No
1681,honorary doctor of the University of Madrid Complutense subClassOf phrase,honorary doctor of the University of Madrid Complutense subClassOf word,No
1682,national honorary title of China subClassOf title of honor,national honorary title of China subClassOf word,No
1683,honorary doctor of Veracruzana University subClassOf honorary doctorate,honorary doctor of Veracruzana University subClassOf word,yes
1684,honorary doctorate from University of Bordeaux-II subClassOf phrase,honorary doctorate from University of Bordeaux-II subClassOf word,No
1685,Principal Companion of the New Zealand Order of Merit subClassOf companion,Principal Companion of the New Zealand Order of Merit subClassOf word,Yes
1686,CBE subClassOf honorific suffix,CBE subClassOf word,No
1687,hexagram subClassOf hexagon,hexagram subClassOf concave polygon,No
1688,honorary citizen of Vrchlabí subClassOf phrase,honorary citizen of Vrchlabí subClassOf word,No
1689,couture copy subClassOf abstract object,couture copy subClassOf concrete object,Yes
1690,honorary doctor of the Jawaharlal Nehru University subClassOf phrase,honorary doctor of the Jawaharlal Nehru University subClassOf word,No
1691,honorary doctor of the Yerevan State University subClassOf honorary doctorate,honorary doctor of the Yerevan State University subClassOf word,Yes
1692,honorary doctor of The New School subClassOf honorary doctorate,honorary doctor of The New School subClassOf phrase,yes
1693,honorary doctor of Saint Petersburg State University of Economics subClassOf honorary doctorate,honorary doctor of Saint Petersburg State University of Economics subClassOf word,Yes
1694,honorary citizen of New York subClassOf honorary citizenship,honorary citizen of New York subClassOf word,Yes
1695,honorary citizen of Uzhhorod subClassOf phrase,honorary citizen of Uzhhorod subClassOf word,Yes
1696,Harvey subClassOf physical model,Harvey subClassOf conceptual model,yes
1697,Doctor of Law (honorary) subClassOf Doctor of Laws,Doctor of Law (honorary) subClassOf word,Yes
1698,Affiliated Research Fellow subClassOf academic rank,Affiliated Research Fellow subClassOf phrase,No
1699,honorary citizen of Moravské Budějovice subClassOf phrase,honorary citizen of Moravské Budějovice subClassOf word,No
1700,bantustan of South West Africa subClassOf historical country,bantustan of South West Africa subClassOf state,No
1701,honorary citizen of Kyiv subClassOf phrase,honorary citizen of Kyiv subClassOf word,Yes
1702,tourism ambassador subClassOf phrase,tourism ambassador subClassOf word,Yes
1703,five-pointed star subClassOf concave polygon,five-pointed star subClassOf convex polygon,Yes
1704,honorary citizen of Cluj-Napoca subClassOf phrase,honorary citizen of Cluj-Napoca subClassOf word,yes
1705,{11/2} hendecagram subClassOf hendecagram,{11/2} hendecagram subClassOf irregular polygon,Yes
1706,fig leaf subClassOf abstract object,fig leaf subClassOf concrete object,Yes
1707,honorary doctor of the University of Bamberg subClassOf honorary doctorate,honorary doctor of the University of Bamberg subClassOf phrase,No
1708,gender-neutral title subClassOf honorific,gender-neutral title subClassOf phrase,No
1709,honorary citizen of Ludwigslust subClassOf phrase,honorary citizen of Ludwigslust subClassOf word,Yes
1710,individual copy of an audio work subClassOf audio recording,individual copy of an audio work subClassOf concrete object,No
1711,honorary citizen of Frankfurt am Main subClassOf honorary citizenship,honorary citizen of Frankfurt am Main subClassOf phrase,No
1712,honorary doctor of Auckland University of Technology subClassOf honorary doctorate,honorary doctor of Auckland University of Technology subClassOf word,yes
